Frequency (Hz)	Level (dB)
17743.359375	-111.732452
17786.425781	-119.932213
17829.492188	-115.718613
17872.558594	-113.528625
17915.625000	-121.076576
17958.691406	-133.253220
18001.757813	-128.896439
18044.824219	-116.113564
18087.890625	-111.540726
18130.957031	-111.929832
18174.023438	-117.933357
18217.089844	-134.780045
18260.156250	-132.166428
18303.222656	-118.072487
18346.289063	-112.237503
18389.355469	-111.593353
18432.421875	-115.845032
18475.488281	-127.928886
18518.554688	-135.097549
18561.621094	-145.773529
18604.687500	-155.112167
18647.753906	-147.132172
18690.820313	-137.284286
18733.886719	-139.338425
18776.953125	-149.199387
18820.019531	-147.235046
18863.085938	-129.144638
18906.152344	-124.757751
18949.218750	-132.418015
18992.285156	-152.778305
19035.351563	-142.804886
19078.417969	-130.309052
19121.484375	-131.085968
19164.550781	-146.267273
19207.617188	-154.787125
19250.683594	-145.300613
19293.750000	-139.709290
19336.816406	-145.533554
19379.882813	-158.827347
19422.949219	-149.403595
19466.015625	-133.998688
19509.082031	-132.862320
19552.148438	-144.594101
19595.214844	-154.124283
19638.281250	-128.854233
19681.347656	-121.166954
19724.414063	-125.591568
19767.480469	-150.118591
19810.546875	-153.914078
19853.613281	-140.355011
19896.679688	-138.222122
19939.746094	-147.829529
19982.812500	-154.151459
20025.878906	-142.490036
20068.945313	-131.904053
20112.011719	-133.972733
20155.078125	-151.379074
20198.144531	-154.321579
20241.210938	-143.510269
20284.277344	-139.663422
20327.343750	-147.076035
20370.410156	-157.157700
20413.476563	-145.600616
20456.542969	-133.490524
20499.609375	-134.228134
20542.675781	-145.692764
20585.742188	-152.759491
20628.808594	-146.281998
20671.875000	-139.820923
20714.941406	-144.783173
20758.007813	-153.376389
20801.074219	-146.666824
20844.140625	-132.193878
20887.207031	-131.452026
20930.273438	-143.973465
20973.339844	-152.534027
21016.406250	-132.654175
21059.472656	-125.078285
21102.539063	-129.477432
21145.605469	-153.412811
21188.671875	-148.075058
21231.738281	-130.587250
21274.804688	-128.531113
21317.871094	-139.144791
21360.937500	-156.650818
21404.003906	-149.283005
21447.070313	-139.773392
21490.136719	-142.346619
21533.203125	-158.675720
21576.269531	-157.238754
21619.335938	-134.290817
21662.402344	-129.807983
21705.468750	-137.320358
21748.535156	-154.487015
21791.601563	-151.107773
21834.667969	-139.613434
21877.734375	-140.475891
21920.800781	-155.210236
21963.867188	-153.577438
22006.933594	-143.047745
